Date,Open,High,Low,Close,Adj Close,Volume
7/7/2023,1913.400024,1934.099976,1913.400024,1926.199951,1926.199951,61
6/7/2023,1909.300049,1910.199951,1903.199951,1908.699951,1908.699951,81
5/7/2023,1923.5,1933.900024,1914.699951,1919.599976,1919.599976,193
3/7/2023,1917.900024,1929.5,1917.900024,1921.699951,1921.699951,41
30/06/2023,1908.599976,1921.099976,1900.599976,1921.099976,1921.099976,445
29/06/2023,1909.900024,1909.900024,1892.5,1909.199951,1909.199951,289
28/06/2023,1912.300049,1912.300049,1912.300049,1912.300049,1912.300049,628
27/06/2023,1927,1929.400024,1914,1914,1914,49
26/06/2023,1922.900024,1928.5,1922.5,1923.699951,1923.699951,71
23/06/2023,1918.699951,1932.5,1918.699951,1919.099976,1919.099976,105
22/06/2023,1920,1921,1912.099976,1912.699951,1912.699951,237
21/06/2023,1935.599976,1936.800049,1920,1933.300049,1933.300049,557
20/06/2023,1958.599976,1958.599976,1931.300049,1935.5,1935.5,193
16/06/2023,1961.400024,1962.900024,1953.5,1958.400024,1958.400024,119
15/06/2023,1941.699951,1958.800049,1926,1957.800049,1957.800049,329
14/06/2023,1946.199951,1958.199951,1940.300049,1955.300049,1955.300049,202
13/06/2023,1960.599976,1967.5,1940.300049,1944.599976,1944.599976,343
12/6/2023,1959.699951,1963.5,1951.400024,1955.300049,1955.300049,212
9/6/2023,1965.099976,1969.800049,1960.300049,1962.199951,1962.199951,49
8/6/2023,1943.199951,1969,1943.099976,1963.599976,1963.599976,433
7/6/2023,1959,1968.400024,1940.699951,1942.699951,1942.699951,139
6/6/2023,1960.800049,1965.5,1958.800049,1965.5,1965.5,164
5/6/2023,1947.5,1961.900024,1937.800049,1958,1958,713
2/6/2023,1977.099976,1982.5,1947.400024,1952.400024,1952.400024,356
1/6/2023,1963.199951,1983,1954.300049,1978,1978,750
31/05/2023,1958.199951,1973,1953,1963.900024,1963.900024,5959
30/05/2023,1942.699951,1962.599976,1931,1958,1958,37838
26/05/2023,1948.199951,1948.400024,1944.099976,1944.099976,1944.099976,166036
25/05/2023,1943.099976,1943.099976,1943.099976,1943.099976,1943.099976,1
24/05/2023,1975.400024,1975.400024,1962.800049,1962.800049,1962.800049,189
